name,city,address,lat,lon,accepted_types,verified_at,source_url,status
Городская поликлиника №1,Алматы,"ул. Гоголя, 53/65",43.26071,76.95237,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №11,Алматы,"ул. Жумабаева, 87",,,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №21,Алматы,"мкр. Кокжиек, 66",43.35583,76.91968,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
ЦПМСП Кулагер,Алматы,"мкр. Кулагер, 34а",43.30627,76.92301,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №14,Алматы,"мкр. Айгерим-1, ул. В. Бенберина, 22",43.27756,76.84247,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №22,Алматы,"мкр. Шанырак-2, ул. Жанкожа батыра, 193а",43.29127,76.85075,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №23,Алматы,"мкр. Улжан-1, ул. Жалайыри, 34",43.29918,76.87119,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №25,Алматы,"мкр. Дархан, ул. Халиуллы Алтая, 24/1",,,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №4,Алматы,"мкр. Орбита-3, дом 12",43.20176,76.87938,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №7 (Бухар Жырау),Алматы,"ул. Бухар Жырау, 14",43.28939,76.99221,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №12,Алматы,"ул. Попова, 23/12",43.22793,76.93512,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №17,Алматы,"ул. Басенова, 2",43.2215,76.89868,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №9,Алматы,"ул. Шолохова, 17",43.33622,76.94768,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №13,Алматы,"пр. Сейфуллина, 97",43.31639,76.93901,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №19,Алматы,"ул. Папанина, 220",43.31931,76.96277,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №20,Алматы,"мкр. Жулдыз-1, 5в",,,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №24,Алматы,"ул. Земнухова, 3/1",43.34891,76.94392,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №28,Алматы,"мкр. Жас Канат, 54/2",43.3194,76.97823,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №32,Алматы,"ул. Монтажная, 33",,,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
ГКБ №8 (поликлиника),Алматы,"ул. Ахан Серы, 36",,,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №3,Алматы,"ул. Розыбакиева, 74",,,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №5,Алматы,"ул. Макатаева, 141",43.26242,76.9152,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №8,Алматы,"ул. Туркебаева, 40",43.25278,76.87886,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника №30,Алматы,"ул. Жибек жолы, 128",,,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Центр ПМСП Алмалинского района,Алматы,"ул. Толе би, 157",43.25276,76.91045,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Городская поликлиника ветеранов ВОВ,Алматы,"ул. Амангельды, 41",43.28837,76.88216,"таблетки, капсулы, мази, кремы, гели, ампулы, флаконы, сиропы, жидкие растворы",2025-06-15,https://pharmreviews.kz/stati/sobytiya/v-poliklinikakh-almaty-otkrylis-punkty-prijoma-lekarstv-dlya-utilizatsii,verified
Аптека «Салауат» — пункт приёма лекарств (Астана),Астана,"пр. Абая, 10",51.1734,71.4531,"таблетки, капсулы, блистеры",,demo,demo
Городской экопункт (демонстрационный) — Астана,Астана,"пр. Республики, 20",51.1634,71.4431,лекарства в оригинальной упаковке,,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Шымкент),Шымкент,"ул. Достык, 11",42.3214,69.594,"таблетки, капсулы, блистеры",,demo,demo
Городской экопункт (демонстрационный) — Шымкент,Шымкент,"ул. Абылай хана, 21",42.3114,69.584,лекарства в оригинальной упаковке,,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Караганда),Караганда,"ул. Сатпаева, 12",49.81,73.089,"таблетки, капсулы, блистеры",,demo,demo
Городской экопункт (демонстрационный) — Караганда,Караганда,"ул. Байтурсынова, 22",49.8,73.079,лекарства в оригинальной упаковке,,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Актобе),Актобе,"пр. Республики, 13",50.287,57.171,"таблетки, капсулы, блистеры",,demo,demo
Городской экопункт (демонстрационный) — Актобе,Актобе,"пр. Назарбаева, 23",50.277,57.161,лекарства в оригинальной упаковке,,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Тараз),Тараз,"ул. Абылай хана, 14",42.904,71.371,"таблетки, капсулы, блистеры",,demo,demo
Городской экопункт (демонстрационный) — Тараз,Тараз,"ул. Гагарина, 24",42.894,71.361,лекарства в оригинальной упаковке,,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Павлодар),Павлодар,"ул. Байтурсынова, 15",52.291,76.971,"таблетки, капсулы, блистеры",,demo,demo
Городской экопункт (демонстрационный) — Павлодар,Павлодар,"пр. Абая, 25",52.281,76.961,лекарства в оригинальной упаковке,,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Өскемен),Өскемен,"пр. Назарбаева, 16",49.978,82.614,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Семей),Семей,"ул. Гагарина, 17",50.415,80.231,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Атырау),Атырау,"пр. Абая, 18",47.121,51.887,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Костанай),Костанай,"ул. Достык, 19",53.218,63.636,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Кызылорда),Кызылорда,"ул. Сатпаева, 20",44.852,65.486,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Орал),Орал,"пр. Республики, 21",51.231,51.39,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Петропавловск),Петропавловск,"ул. Абылай хана, 22",54.87,69.154,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Актау),Актау,"ул. Байтурсынова, 23",43.655,51.161,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Темиртау),Темиртау,"пр. Назарбаева, 24",50.058,72.968,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Түркістан),Түркістан,"ул. Гагарина, 25",43.301,68.256,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Көкшетау),Көкшетау,"пр. Абая, 26",53.288,69.401,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Талдықорған),Талдықорған,"ул. Достык, 27",45.021,78.378,"таблетки, капсулы, блистеры",,demo,demo
Аптека «Салауат» — пункт приёма лекарств (Экибастуз),Экибастуз,"ул. Сатпаева, 28",51.733,75.331,"таблетки, капсулы, блистеры",,demo,demo
