trade_name,pharmacy,city,price,currency,package_desc,observed_at,source_url
Ибупрофен 200 мг,Аптека Дари,Астана,280,KZT,20 таблеток,2026-07-16,demo
Нурофен 200 мг,Аптека Дари,Астана,1350,KZT,20 таблеток,2026-07-16,demo
Аспирин 500 мг,Аптека Дари,Астана,365,KZT,10 таблеток,2026-07-16,demo
Но-шпа 40 мг,Аптека Дари,Астана,1620,KZT,24 таблетки,2026-07-16,demo
Амоксициллин 500 мг,Аптека Дари,Астана,840,KZT,16 капсул,2026-07-16,demo
ТераФлю,Аптека Дари,Астана,2160,KZT,10 пакетиков,2026-07-16,demo
Цитрамон,Аптека Дари,Астана,160,KZT,10 таблеток,2026-07-16,demo
Активированный уголь,Аптека Дари,Астана,130,KZT,10 таблеток,2026-07-16,demo
Лоратадин 10 мг,Аптека Дари,Астана,465,KZT,10 таблеток,2026-07-16,demo
Омепразол 20 мг,Аптека Дари,Астана,745,KZT,30 капсул,2026-07-16,demo
Амброксол сироп,Аптека Дари,Астана,1025,KZT,100 мл,2026-07-16,demo
Ксилометазолин капли,Аптека Дари,Астана,670,KZT,10 мл,2026-07-16,demo
Парацетамол 500 мг,ФармЛайн,Астана,220,KZT,10 таблеток,2026-07-14,demo
Панадол 500 мг,ФармЛайн,Астана,1025,KZT,12 таблеток,2026-07-14,demo
Ибупрофен 200 мг,ФармЛайн,Астана,305,KZT,20 таблеток,2026-07-14,demo
Нурофен 200 мг,ФармЛайн,Астана,1460,KZT,20 таблеток,2026-07-14,demo
Аспирин 500 мг,ФармЛайн,Астана,395,KZT,10 таблеток,2026-07-14,demo
Но-шпа 40 мг,ФармЛайн,Астана,1750,KZT,24 таблетки,2026-07-14,demo
Амоксициллин 500 мг,ФармЛайн,Астана,910,KZT,16 капсул,2026-07-14,demo
ТераФлю,ФармЛайн,Астана,2335,KZT,10 пакетиков,2026-07-14,demo
Цитрамон,ФармЛайн,Астана,175,KZT,10 таблеток,2026-07-14,demo
Активированный уголь,ФармЛайн,Астана,140,KZT,10 таблеток,2026-07-14,demo
Лоратадин 10 мг,ФармЛайн,Астана,500,KZT,10 таблеток,2026-07-14,demo
Омепразол 20 мг,ФармЛайн,Астана,805,KZT,30 капсул,2026-07-14,demo
Амброксол сироп,ФармЛайн,Астана,1110,KZT,100 мл,2026-07-14,demo
Ксилометазолин капли,ФармЛайн,Астана,725,KZT,10 мл,2026-07-14,demo
Парацетамол 500 мг,Емші-Фарм,Астана,200,KZT,10 таблеток,2026-07-17,demo
Панадол 500 мг,Емші-Фарм,Астана,930,KZT,12 таблеток,2026-07-17,demo
Ибупрофен 200 мг,Емші-Фарм,Астана,275,KZT,20 таблеток,2026-07-17,demo
Нурофен 200 мг,Емші-Фарм,Астана,1325,KZT,20 таблеток,2026-07-17,demo
Аспирин 500 мг,Емші-Фарм,Астана,360,KZT,10 таблеток,2026-07-17,demo
Но-шпа 40 мг,Емші-Фарм,Астана,1590,KZT,24 таблетки,2026-07-17,demo
Амоксициллин 500 мг,Емші-Фарм,Астана,825,KZT,16 капсул,2026-07-17,demo
ТераФлю,Емші-Фарм,Астана,2115,KZT,10 пакетиков,2026-07-17,demo
Цитрамон,Емші-Фарм,Астана,160,KZT,10 таблеток,2026-07-17,demo
Активированный уголь,Емші-Фарм,Астана,125,KZT,10 таблеток,2026-07-17,demo
Лоратадин 10 мг,Емші-Фарм,Астана,455,KZT,10 таблеток,2026-07-17,demo
Омепразол 20 мг,Емші-Фарм,Астана,730,KZT,30 капсул,2026-07-17,demo
Амброксол сироп,Емші-Фарм,Астана,1005,KZT,100 мл,2026-07-17,demo
Ксилометазолин капли,Емші-Фарм,Астана,655,KZT,10 мл,2026-07-17,demo
Парацетамол 500 мг,Салауат Фарм,Шымкент,175,KZT,10 таблеток,2026-07-15,demo
Панадол 500 мг,Салауат Фарм,Шымкент,810,KZT,12 таблеток,2026-07-15,demo
Ибупрофен 200 мг,Салауат Фарм,Шымкент,240,KZT,20 таблеток,2026-07-15,demo
Нурофен 200 мг,Салауат Фарм,Шымкент,1150,KZT,20 таблеток,2026-07-15,demo
Аспирин 500 мг,Салауат Фарм,Шымкент,315,KZT,10 таблеток,2026-07-15,demo
Но-шпа 40 мг,Салауат Фарм,Шымкент,1380,KZT,24 таблетки,2026-07-15,demo
Амоксициллин 500 мг,Салауат Фарм,Шымкент,720,KZT,16 капсул,2026-07-15,demo
ТераФлю,Салауат Фарм,Шымкент,1845,KZT,10 пакетиков,2026-07-15,demo
Цитрамон,Салауат Фарм,Шымкент,140,KZT,10 таблеток,2026-07-15,demo
Активированный уголь,Салауат Фарм,Шымкент,110,KZT,10 таблеток,2026-07-15,demo
Лоратадин 10 мг,Салауат Фарм,Шымкент,395,KZT,10 таблеток,2026-07-15,demo
Омепразол 20 мг,Салауат Фарм,Шымкент,635,KZT,30 капсул,2026-07-15,demo
Амброксол сироп,Салауат Фарм,Шымкент,875,KZT,100 мл,2026-07-15,demo
Ксилометазолин капли,Салауат Фарм,Шымкент,570,KZT,10 мл,2026-07-15,demo
Парацетамол 500 мг,Шипагер,Шымкент,190,KZT,10 таблеток,2026-07-10,demo
Панадол 500 мг,Шипагер,Шымкент,880,KZT,12 таблеток,2026-07-10,demo
Ибупрофен 200 мг,Шипагер,Шымкент,260,KZT,20 таблеток,2026-07-10,demo
Нурофен 200 мг,Шипагер,Шымкент,1250,KZT,20 таблеток,2026-07-10,demo
Аспирин 500 мг,Шипагер,Шымкент,340,KZT,10 таблеток,2026-07-10,demo
Но-шпа 40 мг,Шипагер,Шымкент,1500,KZT,24 таблетки,2026-07-10,demo
Амоксициллин 500 мг,Шипагер,Шымкент,780,KZT,16 капсул,2026-07-10,demo
ТераФлю,Шипагер,Шымкент,2000,KZT,10 пакетиков,2026-07-10,demo
Цитрамон,Шипагер,Шымкент,150,KZT,10 таблеток,2026-07-10,demo
Активированный уголь,Шипагер,Шымкент,120,KZT,10 таблеток,2026-07-10,demo
Лоратадин 10 мг,Шипагер,Шымкент,430,KZT,10 таблеток,2026-07-10,demo
Омепразол 20 мг,Шипагер,Шымкент,690,KZT,30 капсул,2026-07-10,demo
Амброксол сироп,Шипагер,Шымкент,950,KZT,100 мл,2026-07-10,demo
Ксилометазолин капли,Шипагер,Шымкент,620,KZT,10 мл,2026-07-10,demo
Парацетамол 500 мг,Емші-Фарм,Шымкент,180,KZT,10 таблеток,2026-07-17,demo
Панадол 500 мг,Емші-Фарм,Шымкент,835,KZT,12 таблеток,2026-07-17,demo
Ибупрофен 200 мг,Емші-Фарм,Шымкент,245,KZT,20 таблеток,2026-07-17,demo
Нурофен 200 мг,Емші-Фарм,Шымкент,1190,KZT,20 таблеток,2026-07-17,demo
Аспирин 500 мг,Емші-Фарм,Шымкент,325,KZT,10 таблеток,2026-07-17,demo
Но-шпа 40 мг,Емші-Фарм,Шымкент,1425,KZT,24 таблетки,2026-07-17,demo
Амоксициллин 500 мг,Емші-Фарм,Шымкент,740,KZT,16 капсул,2026-07-17,demo
ТераФлю,Емші-Фарм,Шымкент,1900,KZT,10 пакетиков,2026-07-17,demo
Цитрамон,Емші-Фарм,Шымкент,145,KZT,10 таблеток,2026-07-17,demo
Активированный уголь,Емші-Фарм,Шымкент,115,KZT,10 таблеток,2026-07-17,demo
Лоратадин 10 мг,Емші-Фарм,Шымкент,410,KZT,10 таблеток,2026-07-17,demo
Омепразол 20 мг,Емші-Фарм,Шымкент,655,KZT,30 капсул,2026-07-17,demo
Амброксол сироп,Емші-Фарм,Шымкент,905,KZT,100 мл,2026-07-17,demo
Ксилометазолин капли,Емші-Фарм,Шымкент,590,KZT,10 мл,2026-07-17,demo
